Partner Type	Target Organization	State(s)	Outreach Method	Value Proposition for Partner	Value for Present Health	Priority	Status	Notes
Insurance broker (HDHP focus)	Independent health insurance brokers selling HDHPs	All 15 states	Email + co-branded PDF	"Give your HDHP clients a primary care layer that makes their deductible less painful. DPC + HDHP is the optimal stack. HSA-eligible in 2026."	Warm referrals from trusted advisor. Broker's clients are pre-qualified (already cost-conscious, HDHP holders). HSA angle makes this timely.	CRITICAL	Not started	See assets/partnership-outreach-drafts.md. Brokers are the highest-leverage partner for DPC.
HR benefits consultant	Regional benefits consulting firms	TX, FL, OH, MI	Email + case study	"Offer your employer clients a $29/employee/month primary care benefit that reduces ER visits and absenteeism. No implementation friction — virtual from day 1."	Employer channel at $29/employee/mo. Benefits consultants influence purchasing for hundreds of companies.	HIGH	Not started	Target firms that serve 50-500 employee companies. These are too small for One Medical but big enough to need a benefit.
Coworking space	WeWork, Industrious, local coworking spaces	TX, FL, OH	Email + member perk proposal	"Offer your members a healthcare perk: discounted first month or priority onboarding with Present Health. Differentiates your space from competitors."	Access to remote workers — Present Health's ideal patient. Coworking spaces have built-in distribution to health-conscious professionals.	MEDIUM	Not started	Start with 2-3 spaces in Austin, Miami, Columbus. Test before scaling.
Freelancer/gig economy platform	Freelancers Union, Fiverr Workspace, Toptal	National	Email + content partnership	"Your freelancers need affordable primary care without employer insurance. Present Health: $99/mo, all-inclusive, HSA-eligible."	Freelancers are the #1 demographic for DPC. They lack employer benefits and are digitally native. Perfect fit.	HIGH	Not started	Freelancers Union has 500K+ members. Even a newsletter mention is high-value.
Chamber of Commerce	Local chambers in top markets	TX, FL, OH, MI, MN	Email + membership/speaking	"Present Health is a local (virtual) healthcare business serving [state] residents. We'd like to join the chamber and contribute to member health benefits discussions."	Local authority signal for GBP. Chamber membership = backlink + citation. Speaking opportunity at chamber events.	MEDIUM	Not started	Chambers also connect to small business owners who might use employer plan.
DPC Alliance	DPC Alliance (dpcare.org)	National	Directory listing + membership	"List Present Health on the DPC Alliance directory. We're a multi-state virtual DPC practice at $99/mo."	Directory listing ranks for "DPC near me." Association membership builds authority. Backlink from high-DA healthcare domain.	HIGH	Not started	Also list on DPC Frontier Mapper, FindMyDirectDoctor.com, DPCPractices.com.
Wellness / fitness companies	Peloton corporate, local gyms, wellness apps	National	Email + co-marketing	"Your members invest in fitness. Give them access to a doctor who actually has time to talk about their health goals. $99/mo, messaging-first, no appointments."	Cross-promotion to health-conscious audience. Gym/wellness members skew toward Present Health's ideal patient profile.	LOW	Not started	Lower priority. Test after employer and broker channels are running.
Financial wellness platforms	HSA administrators (Lively, Fidelity HSA), financial advisors	National	Email + content partnership	"DPC is now HSA-eligible. Help your clients optimize their HSA by pairing it with a $99/mo DPC membership. We can co-create educational content."	HSA administrators have direct access to 30M+ HSA holders. A partnership or even a blog mention drives highly qualified traffic.	HIGH	Not started	Lively and Fidelity HSA have blog/newsletter programs. Pitch a guest post: "How to Use Your HSA for Direct Primary Care in 2026."
Employee benefits marketplace	Gusto, Justworks, Rippling	National	Email + integration proposal	"Add Present Health as a benefits option for your small business clients. $29/employee/mo, no implementation overhead, virtual from day 1."	Payroll/benefits platforms serve hundreds of thousands of small businesses. Integration or listing = distribution at scale.	MEDIUM	Not started	Start with Gusto (most SMB-friendly). They have a benefits marketplace.
Local media / health reporter	Local TV health segments, health journalists	TX, FL, OH	Press release + pitch	"New virtual DPC practice makes primary care accessible across [state] for $99/month. HSA-eligible in 2026. Board-certified physician-led."	Local media coverage = backlinks + brand awareness + trust signal. Healthcare is an evergreen beat for local news.	MEDIUM	Not started	Tie pitch to HSA eligibility (newsworthy hook). See assets/partnership-outreach-drafts.md.
