Fix	Page	Current State	Recommended Change	Why It Matters for Patient Acquisition	Impact	Effort	Priority	Week
Add social proof to hero	Homepage	No review count, no rating, no patient count displayed	Add "Rated 4.9/5 by [X] members" or "Trusted by [X] members across [15] states" badge below the hero CTA.	Every competitor displays ratings. Absence of social proof creates doubt. Even "Accepting first 100 members" creates urgency if review count is low.	9/10	Easy	P0	Week 1
Add "who you'll work with" above fold	Homepage	Physician info is below the fold, behind a "Meet Our Physician" link	Add physician headshot, name, credentials, and board certification directly in the hero or immediately below. "Your doctor: Dr. [Name], MD, Board-Certified Family Medicine."	Healthcare is a trust purchase. Patients want to see who will care for them before committing. A face with credentials above the fold increases conversion 20-40% in healthcare.	9/10	Easy	P0	Week 1
Add state selector to hero	Homepage	States listed as text only	Add an interactive "Check your state" dropdown or zip code input in the hero. Show "Available in your state!" confirmation.	Patients in virtual care need to confirm availability BEFORE reading further. If they can't confirm within 5 seconds, they bounce. This reduces the #1 drop-off reason.	8/10	Medium	P1	Week 2
Strengthen meta title for SEO	Homepage	"Text-First Primary Care | Present Health"	Change to: "Virtual Primary Care — $99/Month | Present Health" or "Online Doctor You Can Text — $99/mo | Present Health"	Current meta title doesn't contain any high-volume keywords. "Virtual primary care" has 12,100/mo searches. "$99" in title increases CTR for price-aware searchers.	8/10	Easy	P0	Week 1
Add comparison section	Homepage	"How we're different" section exists but doesn't name competitors or insurance model	Add a visual comparison table: "Present Health vs. Traditional PCP vs. Urgent Care vs. Other Telehealth." Show wait time, cost per visit, continuity, messaging access.	Patients comparing options need a side-by-side. This captures "PlushCare alternative" and "One Medical alternative" searches. Explicit comparison converts undecided visitors.	8/10	Medium	P1	Week 2
Add "What it costs without us" section	Pricing	Cost comparison calculator exists but is interactive/buried	Add a static, above-fold comparison: "3 urgent care visits = $450-$900. Present Health membership = $99/mo for unlimited care." Make the math visceral and immediate.	The calculator requires interaction. Most mobile users won't engage. A static headline comparison makes the value proposition self-evident in 2 seconds.	7/10	Easy	P1	Week 2
Add HSA callout prominently	Pricing + Homepage	Small text "HSA-eligible in 2026" below pricing cards	Create a dedicated HSA section: "New in 2026: Pay with your HSA. DPC memberships are now HSA-eligible. $99/month. Tax-free." Link to detailed /learn article.	HSA eligibility is the single biggest DPC tailwind in 2026. Every HDHP holder (30M+ Americans) is now a potential patient. This should be shouted, not whispered.	9/10	Easy	P0	Week 1
Reduce join friction	/join	Two options (membership vs. single visit) with separate flows	Test a single primary CTA: "Start Membership" with a secondary "Just need one visit?" link. Current equal weighting creates decision paralysis.	Two equal-weight options halve conversion. The membership is the business. Single visit should be a de-emphasized alternative, not a 50/50 choice.	7/10	Easy	P1	Week 2
Add trust badges	Sitewide	No trust badges visible	Add below hero and on /pricing: "HIPAA Compliant," "Board-Certified Physician," "HSA Eligible," "Licensed in 15 States," "Cancel Anytime." Use shield/badge iconography.	Trust badges reduce perceived risk. Healthcare has high perceived risk. Each badge answers an unspoken objection.	7/10	Easy	P0	Week 1
Add "not insurance" explainer	Homepage + Pricing	FAQ addresses it but it's buried	Add a dedicated 2-sentence callout near pricing: "Present Health is not insurance. Keep your plan for emergencies and specialists — we handle the 80% of primary care that doesn't need a waiting room."	The #1 objection for DPC is "is this insurance?" Addressing it proactively near the price prevents confusion and reduces bounce from price-shoppers expecting insurance.	6/10	Easy	P1	Week 2
Speed up /register flow	/register	Name, email, phone, state, plan selection	Remove phone (optional anyway). Auto-detect state if possible. Reduce to: name, email, state dropdown, then straight to Stripe. Every field removed increases completion 10%.	Registration friction kills conversion. Healthcare signup already has high anxiety. Minimal fields = more completions.	7/10	Medium	P2	Week 3
Add exit-intent offer	Sitewide	None	Show exit-intent popup on /pricing and /join: "Not ready to commit? Try a single visit for $99." Captures visitors who were interested but not ready for monthly.	50-70% of pricing page visitors leave without converting. Capturing even 5% of those with a lower-commitment offer creates a funnel entry point.	6/10	Medium	P2	Week 3
Add schema markup for reviews	Sitewide	Article schema exists, no review/rating schema	Add AggregateRating schema to homepage and /pricing once you have 5+ reviews. This enables star ratings in Google search results.	Star ratings in SERPs increase CTR by 20-35%. Healthcare searches especially favor rated results.	6/10	Easy	P2	Week 3
Optimize state pages for local SEO	/states/[state]	State pages exist with telehealth regulations, pharmacy info, etc.	Add H1: "Virtual Primary Care in [State] — $99/Month." Add "direct primary care [state]" to meta title. Add physician(s) licensed in that state prominently.	State pages are the #1 opportunity for local organic ranking. "Direct primary care Florida" has 2,400/mo searches. State pages need to target these exactly.	8/10	Medium	P1	Week 2
Add live chat or chatbot to /pricing	/pricing	Chatbot exists but unclear if it's on pricing page	Ensure chatbot is prominent on /pricing with a pre-loaded question: "Have questions about membership?" This catches undecided visitors.	Pricing page is highest-intent page after homepage. Visitors there are close to converting but may have one blocking question. Chatbot catches them.	5/10	Easy	P2	Week 3
