Competitor	Model	Pricing	True DPC?	States	GBP Presence	Reviews (approx)	Rating	Key Positioning	Strengths	Weaknesses	Present Health Advantage
Amazon One Medical	Hybrid (in-person + virtual), insurance billing	$99/yr (Prime), $199/yr (non-Prime), $29-49/visit	No	17 states in-person, virtual nationwide	Yes (per-location)	Mixed on Trustpilot, BBB complaints	3.5/5 Trustpilot	"Primary care made easy" — Prime ecosystem	Brand recognition, physical locations, low entry price, Prime integration	Not true DPC (bills insurance), per-visit fees, corporate feel, billing complaints, plan cancellation issues	True DPC: no insurance billing, no per-visit fees. $99/mo is all-inclusive vs. $99/yr + per-visit charges. Personal, physician-led care.
PlushCare	Virtual only, membership + insurance billing	$19.99/mo membership, $129/visit without insurance	No	All 50 states	No	~2,600 Trustpilot	3.5/5	"Affordable telehealth appointments"	50-state coverage, low entry price, insurance accepted	Per-visit fees on top of membership, no continuity of care, billing complaints	All-inclusive pricing. Messaging-first (not appointment-based). Relationship-based care vs. transactional visits.
Sesame Care	Marketplace (connects patients to providers)	$37+/visit, $10.99/mo ($99/yr) for discounts	No	Nationwide	No	4.8/5 across platforms	4.8/5	"Half price. Whole care."	Strong reviews, transparent pricing, marketplace breadth	No continuity (different doctor each time), marketplace not practice, no ongoing relationship	Dedicated care team vs. marketplace. Ongoing chronic care management. Same clinician relationship.
K Health	Virtual only, AI + clinician, no insurance	$49/mo membership, $73/visit one-time	No	48 states	No	4.7/5 App Store, F rating BBB	1.1/5 BBB	"24/7 access with AI-powered care"	AI triage, 24/7 availability, lower price point	Poor BBB rating, AI-first (not physician-led), quality concerns	Physician-led (not AI-first). Human relationship. Better trust signals. Board-certified oversight.
SALTA Direct (MI)	Traditional DPC with virtual	$90/mo adults, $45/mo children	Yes	Michigan only (2 locations)	Yes (physical locations)	Strong local reviews	4.8/5	Local DPC with virtual option	True DPC, physical presence, established local trust	Michigan only, in-person focused	Multi-state coverage. Fully virtual. Same DPC value prop.
Texas DPC	Virtual DPC	$49/mo virtual	Yes	Texas only	Limited	Low	N/A	Budget virtual DPC	Low price, Texas-focused	Texas only, thin web presence, no brand recognition	Multi-state. Physician-led. More comprehensive service list.
MyDPCplus (Healthcare2U)	Virtual DPC network, B2B + individual	$49.99/mo	Yes	Nationwide	No	Limited	N/A	Nationwide virtual DPC network	$0 virtual visits, bilingual, B2B distribution	Network model (not practice), less personal, B2B focused	Direct practice relationship. Physician-led. Not a network intermediary.
Euphora Health (TX)	In-person + virtual DPC	Varies by age + $79 signup fee	Yes	Texas only	Yes (Austin location)	Local reviews	4.5+/5	Texas DPC with virtual for rural patients	In-person option, Texas-specific	Texas only, signup fee, complex pricing	Transparent pricing. No signup fees. Multi-state.
Forward Health	AI + CarePods	Was $149/mo	No	N/A — SHUT DOWN Nov 2024	N/A	N/A	N/A	Tech-first primary care	N/A	Raised $657M and failed. Hardware-heavy model unsustainable.	Lean, sustainable model. Messaging-first. No hardware dependency.
Heal	In-home visits, acquired by Humana	Was various	No	GA, LA (CenterWell now)	Closed locations	"CLOSED" on Yelp	N/A	In-home doctor visits	N/A	Pivoted to Medicare/senior only under Humana	Serving all adults 18+. Independent practice. Not insurance-owned.
