Fix	Category	Current State	Recommended Change	Why It Matters for Patient Acquisition	Impact	Effort	Priority	Week
Set up GBP listing	Setup	No GBP listing exists	Create Service Area Business (SAB) listing. Use registered business address (do not display publicly). Set service areas to all 15 licensed states.	GBP is the #1 trust signal for healthcare searches. Without it, Present Health is invisible in Maps and the local knowledge panel. Brand searches ("Present Health") show nothing.	10/10	Medium	P0 — Do first	Week 1
Primary category	Category	N/A	"Family practice physician" — most specific match for DPC. Google has no "Direct Primary Care" or "Telehealth" category.	Category determines which searches trigger your listing. "Family practice physician" captures "doctor near me," "family doctor," and primary care searches.	9/10	Easy	P0	Week 1
Secondary categories	Category	N/A	Add: "Doctor," "Medical clinic," "General practitioner," "Internist" (if physician is IM-trained). Max 9 additional categories.	Each secondary category adds keyword surface area. "Medical clinic" captures clinic-intent searches. "Doctor" covers generic queries.	7/10	Easy	P0	Week 1
Business description	Content	N/A	Use optimized 750-character description (see assets/gbp-description.md). Front-load "direct primary care" and "$99/month" in first 250 chars.	Description appears in knowledge panel. First 250 chars show in search results. Must communicate model, price, and differentiation immediately.	8/10	Easy	P1	Week 1
Service list	Content	N/A	Add 15-20 specific services with descriptions (see assets/gbp-service-list.md). Include "Virtual Primary Care Visit," "Chronic Disease Management," "Prescription Management," etc.	Services appear in GBP and match against search queries. "Prescription management" matches "online doctor for prescriptions" searches.	8/10	Medium	P1	Week 1
Enable online care attribute	Attributes	N/A	Enable "Online care" and "Offers telehealth" attributes.	Shows a telehealth badge in search results. Critical for virtual practice visibility.	7/10	Easy	P0	Week 1
Appointment/booking link	Links	N/A	Set booking link to presenthealthmd.com/join. Set website link to presenthealthmd.com.	Direct conversion path from GBP. Reduces friction from search to signup.	8/10	Easy	P0	Week 1
Photos	Media	N/A	Upload 10+ photos: physician headshot, team photo, screenshot of messaging interface (redacted), office/workspace, logo, cover photo. Update quarterly.	Listings with 10+ photos get 2x more clicks. Healthcare photos build trust. Virtual practices need to show the "face" of care.	7/10	Medium	P1	Week 2
Google Posts	Content	N/A	Publish weekly GBP posts (see assets/gbp-posts-4-weeks.md). Mix of health tips, HSA education, patient scenarios, and offers.	Active posting signals freshness to Google. Posts appear in knowledge panel for branded searches. Each post is a micro-conversion opportunity.	6/10	Medium	P2	Week 2-5
Q&A section	Content	N/A	Pre-seed 10 Q&A pairs covering: "Is this real primary care?" "What states?" "Do you take insurance?" "How much?" "Is it HIPAA-safe?" "How fast do you respond?"	Pre-seeded Q&A prevents misleading third-party answers. Targets exact queries patients search. Appears prominently in knowledge panel.	7/10	Easy	P1	Week 2
Review generation	Reviews	0 reviews	Launch systematic review request program (see assets/review-request-templates.md). Target 5 reviews/month minimum. Goal: 25 reviews by month 3.	Reviews are the #1 local ranking factor and the #1 trust signal for healthcare. A practice with 0 reviews loses to every competitor with any reviews.	10/10	Ongoing	P0	Week 1 (ongoing)
Products/menu	Content	N/A	Add "Products" in GBP: "Monthly Membership — $99/mo," "Annual Membership — $990/yr," "Single Visit — $99." Link each to /join or /visit.	Products appear prominently in mobile knowledge panel. Price transparency in search results converts price-conscious patients.	6/10	Easy	P1	Week 2
Hours	Info	N/A	Set hours to M-F 8am-8pm ET (matching response time commitment). Add "Online" hours if available.	Hours affect when the listing appears in searches. Matching response time commitment builds trust.	5/10	Easy	P0	Week 1
State-specific GBP considerations	Strategy	N/A	If any physical presence exists (home office, coworking, registered agent) in TX, FL, or OH — consider a location-based listing for those states. These are highest-volume DPC search states.	Physical-address listings rank in local pack. Virtual SAB listings do not. Even a coworking address in Dallas, Miami, or Columbus would unlock local pack visibility in those markets.	8/10	Hard	P3	Month 2+
