Week	Type	Title / Topic	Target Keyword	Channel	Purpose	Notes
Week 1	Learn article	HSA and Direct Primary Care in 2026: What Changed and How to Use It	HSA direct primary care 2026	/learn	Capture massive search volume from new HSA eligibility. Present Health qualifies at $99/mo.	Link to /pricing. Include IRS guidance reference. This is the #1 content priority.
Week 1	Learn article	Primary Care Without Insurance: Your Options in 2026	primary care without insurance	/learn	Capture 22K/mo search volume. Position DPC as the answer for uninsured/underinsured.	Reference KFF Health News coverage. Link to /pricing and /states.
Week 1	GBP post	HSA announcement post	HSA DPC	GBP	Announce HSA eligibility. Drive clicks to /pricing.	See assets/gbp-posts-4-weeks.md Post 1
Week 2	Learn article	Direct Primary Care vs. Concierge Medicine: What Is the Difference?	DPC vs concierge medicine	/learn	Capture 6,600/mo "concierge medicine affordable" searches. Differentiate DPC model.	Include pricing comparison table. Link to /pricing.
Week 2	Learn article	What Is Direct Primary Care? A Patient's Guide for 2026	what is direct primary care	/learn	Definitive DPC explainer. Target featured snippet for "what is DPC" queries.	Comprehensive, 2500+ words. Link to /how-it-works and /pricing.
Week 2	GBP post	"What we handle" post	virtual primary care	GBP	Show breadth of services. Drive clicks to homepage.	See assets/gbp-posts-4-weeks.md Post 2
Week 3	Learn article	Can You Use a Doctor Without Insurance? Here Is How DPC Works	doctor without insurance	/learn	Target "cash pay doctor" and "no insurance doctor" queries. High volume, low competition.	Explain DPC model. Include cost comparison. Link to /pricing.
Week 3	State-specific	Direct Primary Care in Texas: What to Know in 2026	direct primary care Texas	/states/texas	Texas is highest-volume DPC search state. Optimize state page with local content.	Reference Texas telehealth regulations. Include Texas-licensed physicians.
Week 3	GBP post	Patient scenario post (lab results)	online doctor	GBP	Show real use case. Build trust with concrete example.	See assets/gbp-posts-4-weeks.md Post 3
Week 4	Learn article	Present Health vs. PlushCare vs. One Medical: Which Virtual Primary Care Is Right for You?	PlushCare alternative / One Medical alternative	/learn	Capture comparison searches. High-intent, mid-funnel.	Honest comparison. Show pricing, model, and care differences. Link to /pricing.
Week 4	State-specific	Direct Primary Care in Florida: Your Guide for 2026	direct primary care Florida	/states/florida	Florida is #2 DPC search state. Optimize state page.	Reference FL telehealth regulations. Include FL-licensed physicians.
Week 4	GBP post	HSA reminder + membership CTA	HSA primary care	GBP	Reinforce HSA message. Drive /join clicks.	See assets/gbp-posts-4-weeks.md Post 4
Week 5	Learn article	How to Find a Good Primary Care Doctor in 2026 (Without the 3-Week Wait)	find primary care doctor	/learn	Target "how to find a doctor" queries. Position messaging-first DPC as the answer.	Include checklist format. Link to /join.
Week 5	Learn article	What Does a $99/Month Doctor Membership Actually Include?	monthly doctor membership	/learn	Target exact price-point searches. Transparency builds trust.	Detailed service breakdown. Link to /pricing.
Week 6	State-specific	Direct Primary Care in Ohio: What to Know in 2026	direct primary care Ohio	/states/ohio	Ohio has active DPC market. Optimize state page.	Reference OH telehealth regulations. Include OH-licensed physicians.
Week 6	Learn article	Is Telehealth as Good as In-Person Primary Care?	telehealth vs in person	/learn	Address the #1 objection for virtual care. Cite evidence for messaging-first model.	Reference 80-90% stat. Link to /how-it-works.
Week 7	Learn article	The Real Cost of Urgent Care vs. a Doctor Membership	urgent care cost vs membership	/learn	Cost-focused content for price-sensitive patients. Calculator reinforcement.	Include specific cost data. Link to /pricing calculator.
Week 7	State-specific	Direct Primary Care in Michigan: Your Guide	direct primary care Michigan	/states/michigan	MI has SALTA Direct as competitor. Differentiate with virtual-first, multi-state.	Reference MI telehealth regulations. Compare to SALTA.
Week 8	Learn article	What Is a DPC Membership and Is It Worth $99/Month?	DPC membership worth it	/learn	Decision-stage content. Addresses the "is it worth it" objection directly.	Include ROI calculation. Patient scenarios. Link to /join.
Week 8	State-specific	Virtual Primary Care in North Carolina	telehealth doctor North Carolina	/states/north-carolina	NC is a growing telehealth market.	Reference NC telehealth regulations.
