Action	Channel	Target	Timeline	Who	Details	Why It Matters
Launch review request email	Email (auto-response)	Every member at 30 days	Week 1 setup, ongoing	Automated	Send personalized review request email 30 days after membership start. Include direct Google review link. See assets/review-request-templates.md.	First 25 reviews are the difference between invisible and credible. 30 days = enough time to have experienced value.
In-message review ask	Secure messaging	After positive interaction	Ongoing	Clinician	After a resolved care episode, clinician sends: "Glad we could help. If you have a moment, a Google review helps other patients find care like this." + link.	Contextual ask after a positive moment has highest conversion. Clinician trust = highest response rate.
Post-welcome-call ask	Video call follow-up	After welcome call	Ongoing	Automated or manual	24 hours after welcome call, send: "Thanks for taking the time today. If you're comfortable, a quick review helps others discover Present Health." + link.	Welcome call is a high-trust moment. First impression is usually positive. Capture that sentiment immediately.
Google review link shortcut	Google	All patients	Week 1	Admin	Generate a short URL for Google review (from GBP dashboard). Use this single link everywhere.	Friction kills reviews. A direct link that opens the review form (not just the listing) doubles completion rate.
Review response protocol	Google + all platforms	Every review within 24 hours	Ongoing	Admin	Respond to EVERY review within 24 hours. Use HIPAA-safe templates (see assets/review-response-templates.md). Never acknowledge medical details.	Response rate signals active management to Google. Responded-to reviews signal trust to prospective patients. HIPAA violations in responses = legal risk.
Monthly review reporting	Internal	Admin dashboard	Monthly	Admin	Track: total reviews, average rating, response time, review velocity. Dashboard already exists in admin.	Trend tracking reveals whether strategy is working. Review velocity (reviews/month) is the metric that matters for ranking.
Healthgrades / Zocdoc profile	Directories	Physician profile	Week 2	Admin	Ensure physician profiles on Healthgrades, Zocdoc, and Vitals are claimed and match GBP NAP. These feed Google's trust signals.	Directory profiles are citation sources. Consistent NAP (name, address, phone) across directories is a core local ranking factor.
DPC directory listings	DPC directories	Practice profile	Week 2	Admin	List on: DPC Alliance (dpcare.org), DPC Frontier Mapper (mapper.dpcfrontier.com), FindMyDirectDoctor.com, DPCPractices.com. Include pricing, states, and description.	DPC directories rank for "DPC near me" and "direct primary care [state]." Being listed captures referral traffic from patients actively searching for DPC.
Review gating (do NOT do)	Any	N/A	Never	N/A	Do NOT filter or gate reviews (e.g., asking happy patients to review publicly and unhappy patients to email privately). Google prohibits this and will penalize the listing.	Review gating violates Google's policies and FTC guidelines. If caught, listing can be suspended. All patients get the same ask.
Target milestones	Google	Cumulative	Ongoing	Admin	Month 1: 5 reviews. Month 2: 12 reviews. Month 3: 25 reviews. Month 6: 50 reviews. Maintain 4.5+ average.	5 reviews = star rating appears. 25 reviews = competitive with local DPCs. 50 reviews = trust parity with established practices.
