Keyword	Search Intent	Monthly Volume (est)	Current Ranking	SERP Features	Dominant Results	Gap / Opportunity	Priority	Target Page
direct primary care near me	Transactional	14,800	Not ranking	Local pack + AI overview + organic	Local DPC practices, FindMyDirectDoctor, DPC Alliance directories	No virtual DPC ranks here. Present Health can own "virtual DPC" variant. Local pack requires physical presence.	HIGH	/states/[state] pages + /how-it-works
online doctor $99	Transactional	5,400	Not ranking	Ads (One Medical, PlushCare) + organic	Amazon One Medical ($99/yr), Doctor On Demand ($99/visit)	Present Health's $99/mo price matches query intent. Create /pricing anchor content targeting this exact phrase.	HIGH	/pricing (add "online doctor for $99/month" copy)
telehealth primary care membership	Transactional	3,600	Not ranking	Ads + organic + AI overview	Amazon One Medical, PlushCare, health system portals	No DPC-model telehealth ranks. Present Health's messaging-first model is differentiated.	HIGH	/how-it-works + /pricing
cash pay doctor no insurance	Informational-to-Transactional	8,100	Not ranking	Organic (editorial) + AI overview	Healthline, AARP, GoodRx, community health center guides	Editorial content dominates. Present Health's /learn content engine should target this cluster aggressively.	HIGH	New /learn article + /pricing
virtual primary care	Navigational-to-Transactional	12,100	Not ranking	Ads (One Medical, MDLive) + organic	Amazon One Medical, health system virtual care portals	Insurance-based telehealth dominates. DPC angle is un-served. Homepage meta title should include this phrase.	CRITICAL	Homepage + /about
DPC membership	Transactional	2,400	Not ranking	Organic + some local	DPC Alliance, DPC Coalition, individual DPC practices, HSA for America	Directory-dominated. Present Health should be listed on every DPC directory. Create comparison content.	MEDIUM	/how-it-works + directory listings
same day doctor visit online	Transactional	9,900	Not ranking	Ads (Sesame, CVS) + AI overview + organic	Sesame Care ($37), CVS MinuteClinic, Doctor On Demand	Price-sensitive. Present Health's membership model is different value prop. Target with "no per-visit fee" angle.	MEDIUM	/learn article on "when to see a doctor today"
monthly doctor membership	Transactional	1,900	Not ranking	Organic	Maple Primary Care, One Medical, local DPCs	Low competition. Present Health can rank with optimized /pricing page targeting this phrase.	HIGH	/pricing
concierge medicine affordable	Informational	6,600	Not ranking	Organic + AI overview	One Medical, MDVIP, NPR DPC article, Consumer Reports	"DPC vs concierge" is a top search pattern. Comparison content converts high-intent readers.	MEDIUM	New /learn article: DPC vs concierge medicine
primary care without insurance	Informational	22,000	Not ranking	AI overview + organic (editorial heavy)	GoodRx, AdventHealth, Zocdoc, KFF Health News	Massive volume. Editorial results mean content-first strategy works. HSA angle is timely.	CRITICAL	New /learn articles + /pricing
HSA direct primary care 2026	Transactional	4,400	Not ranking	Organic + AI overview	HSA for America, IRS.gov, benefits blogs	HUGE 2026 tailwind. Present Health qualifies ($99 < $150 limit). Create definitive HSA + DPC guide.	CRITICAL	New /learn article + /pricing callout
direct primary care [state]	Transactional	1,200-3,600 per state	Not ranking	Local pack + organic	State DPC directories, HSA for America state guides, local DPCs	State pages exist but need SEO optimization. HSA for America's state guides currently dominate.	HIGH	/states/[state] pages (15 states)
text a doctor online	Transactional	2,900	Not ranking	Ads + organic	Various telehealth companies	Directly matches Present Health's messaging-first model. Should be in homepage H1 or meta.	HIGH	Homepage
doctor you can text	Transactional	1,600	Not ranking	Organic	Teladoc, various telehealth apps	Present Health's entire model. Own this phrase.	HIGH	Homepage + /how-it-works
primary care membership	Transactional	3,200	Not ranking	Organic + AI overview	Local DPCs, One Medical	Generic but high intent. /pricing page should target.	MEDIUM	/pricing
telehealth doctor [state]	Transactional	800-2,400 per state	Not ranking	Local pack + organic + ads	State health systems, insurance telehealth, Teladoc	State pages should target this. Unique angle: no insurance needed.	HIGH	/states/[state] pages
